                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5479,                0.34455,                0.98068,                 0.9811,                0.91176,                0.97996,                0.79691,                0.75962,                0.40865,                 1.2055,             0.00013332,             0.00013332,             0.00013332
                      2,                 0.5636,                0.39946,                0.99317,                0.97196,                0.97041,                0.98854,                0.79615,                0.77135,                0.40501,                 1.2318,             0.00027622,             0.00027622,             0.00027622
                      3,                0.60011,                0.39898,                 1.0123,                0.92238,                0.95098,                0.96809,                0.75976,                0.86238,                0.57188,                 1.2968,             0.00041754,             0.00041754,             0.00041754
                      4,                0.57119,                0.41007,                0.99282,                0.80574,                0.85231,                0.93874,                0.75179,                0.80793,                0.83026,                 1.2641,             0.00055726,             0.00055726,             0.00055726
                      5,                0.60972,                 0.4216,                 1.0165,                0.91286,                0.96034,                0.97197,                0.79416,                 0.7656,                0.49233,                 1.2367,              0.0006954,              0.0006954,              0.0006954
                      6,                0.61003,                0.44127,                 1.0362,                0.93817,                0.86721,                0.95716,                0.71885,                0.94993,                0.66675,                 1.4139,             0.00083194,             0.00083194,             0.00083194
                      7,                0.64796,                0.45878,                 1.0382,                0.45818,                0.09327,                0.14907,                0.09996,                 1.8491,                 4.8097,                 2.1614,              0.0009669,              0.0009669,              0.0009669
                      8,                  0.689,                0.47784,                  1.088,                 0.6909,                0.88571,                0.92763,                0.71854,                0.86374,                0.69429,                 1.3252,              0.0010682,              0.0010682,              0.0010682
                      9,                0.66165,                0.49312,                 1.0773,                0.85427,                0.86679,                0.93278,                0.71039,                0.89112,                0.57442,                 1.3493,              0.0010621,              0.0010621,              0.0010621
                     10,                0.64233,                0.45188,                 1.0483,                0.84804,                0.91921,                 0.9246,                0.74181,                0.85405,                0.62838,                  1.305,               0.001056,               0.001056,               0.001056
                     11,                0.68126,                 0.5118,                 1.0589,                0.72594,                0.86802,                0.94327,                0.74205,                0.82426,                0.75081,                 1.2792,              0.0010499,              0.0010499,              0.0010499
                     12,                0.67342,                0.48831,                 1.0486,                0.85725,                0.94488,                0.96697,                0.76269,                0.79182,                 0.5704,                 1.2491,              0.0010438,              0.0010438,              0.0010438
                     13,                0.66897,                0.48623,                 1.0558,                0.88426,                0.91377,                0.97886,                 0.7626,                0.82799,                0.56564,                  1.272,              0.0010377,              0.0010377,              0.0010377
                     14,                0.66852,                0.49045,                 1.0581,                0.92975,                0.92235,                0.96557,                0.75135,                 0.8449,                0.57162,                 1.2972,              0.0010316,              0.0010316,              0.0010316
                     15,                0.71243,                0.48477,                 1.0671,                 0.7236,                0.86021,                0.90939,                0.72547,                0.79871,                0.85918,                 1.2485,              0.0010255,              0.0010255,              0.0010255
                     16,                0.66959,                 0.5131,                  1.053,                0.89459,                0.85368,                0.91666,                0.72132,                0.88891,                0.71564,                 1.3327,              0.0010193,              0.0010193,              0.0010193
                     17,                 0.6609,                0.44714,                   1.06,                0.88522,                0.94176,                0.95794,                0.74672,                0.82967,                0.68101,                 1.3036,              0.0010132,              0.0010132,              0.0010132
                     18,                0.62282,                 0.4278,                 1.0138,                 0.8068,                0.83457,                0.89177,                0.66641,                0.89125,                 0.8737,                 1.3823,              0.0010071,              0.0010071,              0.0010071
                     19,                0.64712,                0.44119,                 1.0201,                0.81568,                0.94273,                0.97646,                0.74188,                 0.8889,                 0.6681,                 1.3462,               0.001001,               0.001001,               0.001001
                     20,                 0.6557,                0.45489,                 1.0205,                0.84632,                0.93825,                0.97356,                 0.7561,                0.84539,                0.65916,                 1.3318,              0.0009949,              0.0009949,              0.0009949
                     21,                0.63732,                0.43643,                 1.0394,                0.66011,                0.83875,                0.84654,                0.67149,                0.85974,                0.95852,                 1.3381,             0.00098879,             0.00098879,             0.00098879
                     22,                 0.6216,                0.42603,                 1.0055,                0.65851,                0.78168,                0.81076,                0.61272,                0.91095,                 1.0962,                 1.3938,             0.00098268,             0.00098268,             0.00098268
                     23,                0.60328,                0.42591,                0.98261,                0.96348,                0.98117,                0.98553,                0.75894,                0.83355,                0.45955,                 1.3228,             0.00097657,             0.00097657,             0.00097657
                     24,                0.60696,                0.43259,                 1.0289,                0.93031,                 0.9571,                  0.995,                0.78861,                0.79603,                0.43819,                 1.2426,             0.00097046,             0.00097046,             0.00097046
                     25,                0.59416,                0.41365,                0.99604,                0.95952,                  0.965,                0.98565,                0.79391,                0.80225,                0.46368,                 1.2747,             0.00096435,             0.00096435,             0.00096435
                     26,                0.62852,                0.43812,                 1.0389,                0.92837,                0.92391,                 0.9841,                0.79084,                0.80012,                0.51402,                 1.2807,             0.00095824,             0.00095824,             0.00095824
                     27,                0.62349,                0.42595,                 1.0355,                0.94597,                 0.9069,                0.98569,                0.78387,                0.79533,                 0.5013,                 1.2594,             0.00095213,             0.00095213,             0.00095213
                     28,                0.66882,                0.44346,                 1.0718,                0.92221,                0.90303,                0.95901,                0.77841,                0.79365,                0.50074,                 1.2318,             0.00094602,             0.00094602,             0.00094602
                     29,                0.58642,                0.39384,                0.97803,                  0.859,                 0.8556,                0.95816,                0.73947,                0.87862,                0.60132,                 1.3383,             0.00093991,             0.00093991,             0.00093991
                     30,                0.60625,                0.40658,                 1.0042,                0.93077,                0.94826,                0.97613,                0.77709,                0.84105,                0.49238,                 1.2877,              0.0009338,              0.0009338,              0.0009338
                     31,                0.62404,                0.44157,                 1.0283,                0.89977,                0.95354,                0.97394,                0.77034,                0.81088,                0.53355,                 1.2873,             0.00092769,             0.00092769,             0.00092769
                     32,                0.61077,                0.45445,                 1.0093,                0.92436,                0.93815,                 0.9688,                0.77184,                0.78455,                0.55016,                 1.2495,             0.00092157,             0.00092157,             0.00092157
                     33,                0.62534,                0.46854,                 1.0305,                0.85853,                0.89614,                0.95912,                 0.7841,                0.77665,                0.58666,                 1.2546,             0.00091546,             0.00091546,             0.00091546
                     34,                0.66023,                0.44794,                 1.0627,                0.87793,                0.92964,                0.97188,                0.78316,                0.78618,                0.54163,                 1.2663,             0.00090935,             0.00090935,             0.00090935
                     35,                0.59287,                0.42219,                 1.0079,                0.93283,                0.94585,                 0.9638,                0.77016,                0.84109,                0.50684,                 1.3128,             0.00090324,             0.00090324,             0.00090324
                     36,                0.61509,                0.44641,                 1.0164,                 0.8885,                0.94567,                0.95592,                0.75726,                 0.8656,                 0.5722,                 1.3375,             0.00089713,             0.00089713,             0.00089713
                     37,                0.63409,                0.45189,                 1.0453,                0.90744,                0.94343,                0.97178,                0.76428,                 0.8466,                0.48557,                 1.3076,             0.00089102,             0.00089102,             0.00089102
                     38,                0.61668,                0.40916,                0.99738,                0.88767,                0.93801,                0.97218,                0.79546,                0.78789,                0.50193,                 1.2658,             0.00088491,             0.00088491,             0.00088491
                     39,                0.59353,                0.42442,                 1.0085,                0.94755,                0.93461,                0.99223,                0.79843,                0.77476,                0.44893,                 1.2167,              0.0008788,              0.0008788,              0.0008788
                     40,                 0.6298,                0.44499,                 1.0262,                0.88347,                0.90015,                0.94859,                0.73725,                0.84701,                0.56235,                 1.2847,             0.00087269,             0.00087269,             0.00087269
                     41,                0.61447,                0.41042,                 1.0333,                 0.9719,                0.94101,                0.98617,                0.78885,                 0.8241,                0.44599,                 1.2721,             0.00086658,             0.00086658,             0.00086658
                     42,                0.57568,                0.41518,                0.94311,                0.89249,                0.90753,                0.96848,                0.76001,                0.84048,                 0.5626,                 1.3051,             0.00086047,             0.00086047,             0.00086047
                     43,                0.60462,                0.38093,                 1.0063,                0.95503,                0.93885,                0.98101,                0.76949,                0.83195,                0.48491,                 1.2924,             0.00085436,             0.00085436,             0.00085436
                     44,                0.62472,                0.42252,                 1.0289,                0.91284,                0.95757,                0.97481,                 0.7701,                0.79136,                 0.4743,                 1.2889,             0.00084825,             0.00084825,             0.00084825
                     45,                0.66431,                0.41922,                  1.052,                0.96941,                0.99875,                  0.995,                0.78624,                0.82092,                0.41528,                   1.28,             0.00084214,             0.00084214,             0.00084214
                     46,                0.59657,                0.41477,                 1.0083,                0.94743,                0.88958,                0.97588,                0.78013,                0.80873,                0.50659,                 1.2876,             0.00083603,             0.00083603,             0.00083603
                     47,                0.59711,                0.42279,                 1.0093,                0.95544,                 0.9211,                0.97616,                0.78534,                0.84005,                0.48712,                 1.3233,             0.00082992,             0.00082992,             0.00082992
                     48,                0.58736,                0.38355,                 1.0107,                0.95786,                0.96954,                0.99407,                 0.7936,                0.85527,                0.46215,                 1.3367,             0.00082381,             0.00082381,             0.00082381
                     49,                0.59598,                0.38612,                0.98461,                0.94059,                0.98301,                0.99253,                0.78482,                0.81219,                0.42977,                 1.3102,              0.0008177,              0.0008177,              0.0008177
                     50,                0.58724,                0.37749,                 1.0215,                0.95148,                 0.9213,                0.99132,                0.80123,                0.75889,                0.43037,                 1.2539,             0.00081159,             0.00081159,             0.00081159
                     51,                0.61278,                0.41026,                 1.0434,                0.96696,                0.89813,                0.98493,                0.79413,                0.78633,                0.47977,                 1.2499,             0.00080547,             0.00080547,             0.00080547
                     52,                0.59383,                0.38728,                0.99255,                0.92282,                0.89889,                0.97049,                 0.7893,                0.79134,                0.57558,                 1.2436,             0.00079936,             0.00079936,             0.00079936
                     53,                0.60063,                 0.4004,                 1.0258,                0.83731,                0.91542,                0.95345,                0.76688,                0.78852,                0.53572,                 1.2402,             0.00079325,             0.00079325,             0.00079325
                     54,                0.61107,                0.40851,                 1.0317,                0.88749,                 0.8404,                0.92053,                0.74556,                0.80247,                0.66962,                 1.2877,             0.00078714,             0.00078714,             0.00078714
                     55,                0.53128,                0.35635,                0.99223,                0.90872,                0.94739,                0.99073,                0.80094,                0.75291,                0.44017,                 1.2392,             0.00078103,             0.00078103,             0.00078103
                     56,                0.60105,                0.40736,                 1.0591,                0.95971,                0.96591,                0.99167,                 0.8001,                0.82826,                0.41446,                 1.2932,             0.00077492,             0.00077492,             0.00077492
                     57,                0.57716,                0.40268,                0.98721,                0.96971,                0.98182,                 0.9935,                0.79256,                0.79761,                0.41669,                 1.2804,             0.00076881,             0.00076881,             0.00076881
                     58,                0.59934,                0.38952,                0.99723,                0.91837,                 0.9047,                0.98398,                0.78774,                0.79132,                0.48779,                 1.2453,              0.0007627,              0.0007627,              0.0007627
                     59,                0.53846,                0.35906,                0.99638,                0.96129,                0.95019,                0.99143,                0.79804,                0.79424,                0.42276,                 1.2507,             0.00075659,             0.00075659,             0.00075659
                     60,                0.57574,                0.37393,                      1,                0.92402,                0.93164,                0.97226,                0.78141,                0.82546,                0.48079,                 1.3032,             0.00075048,             0.00075048,             0.00075048
                     61,                0.59157,                0.39236,                0.99701,                0.93345,                0.90509,                0.97204,                0.77641,                0.80968,                0.48539,                 1.2884,             0.00074437,             0.00074437,             0.00074437
                     62,                0.57001,                0.36368,                0.99854,                0.91565,                0.94776,                0.97375,                0.78136,                0.81231,                0.43279,                   1.29,             0.00073826,             0.00073826,             0.00073826
                     63,                0.57052,                0.38024,                 1.0064,                0.96392,                0.96409,                0.97998,                0.77194,                0.85987,                0.47174,                 1.3509,             0.00073215,             0.00073215,             0.00073215
                     64,                0.54857,                0.35572,                0.97555,                0.93417,                0.91454,                0.98072,                 0.7897,                0.81253,                 0.4832,                 1.2912,             0.00072604,             0.00072604,             0.00072604
                     65,                0.57941,                0.37104,                 1.0018,                0.96318,                0.97787,                  0.995,                0.79542,                0.80581,                0.40638,                 1.2917,             0.00071993,             0.00071993,             0.00071993
                     66,                0.54732,                0.36037,                 1.0014,                0.97539,                0.95288,                 0.9935,                0.79829,                0.80945,                0.42719,                  1.299,             0.00071382,             0.00071382,             0.00071382
                     67,                0.50733,                0.34248,                0.97051,                0.95922,                0.93233,                0.98795,                0.79996,                0.77697,                0.45052,                 1.2706,             0.00070771,             0.00070771,             0.00070771
                     68,                0.51247,                0.35397,                0.98622,                 0.9098,                      1,                0.98873,                0.79318,                  0.805,                0.41982,                 1.2892,              0.0007016,              0.0007016,              0.0007016
                     69,                0.56889,                0.36423,                 1.0374,                0.95814,                0.94844,                0.98833,                0.79094,                0.76169,                0.41118,                 1.2436,             0.00069549,             0.00069549,             0.00069549
                     70,                0.55189,                0.34359,                0.98657,                0.97694,                0.97062,                  0.995,                0.80979,                0.77328,                0.39905,                 1.2413,             0.00068938,             0.00068938,             0.00068938
                     71,                0.57247,                0.38004,                0.99258,                0.96493,                0.94798,                0.99143,                 0.7783,                0.81769,                0.43691,                 1.2771,             0.00068327,             0.00068327,             0.00068327
                     72,                0.54532,                0.37244,                0.99271,                 0.9707,                0.95971,                0.99407,                0.79223,                 0.7871,                0.38732,                 1.2694,             0.00067715,             0.00067715,             0.00067715
                     73,                0.54304,                0.34338,                0.97519,                0.96717,                0.89243,                 0.9841,                0.78551,                0.78762,                0.43746,                 1.2495,             0.00067104,             0.00067104,             0.00067104
                     74,                 0.5068,                0.32433,                0.94431,                 0.9644,                0.96996,                0.98508,                0.78742,                0.77801,                0.42852,                  1.219,             0.00066493,             0.00066493,             0.00066493
                     75,                0.52331,                0.34016,                0.95115,                0.94793,                0.95096,                0.98464,                0.79441,                 0.7287,                0.40558,                 1.1894,             0.00065882,             0.00065882,             0.00065882
                     76,                0.54928,                0.35857,                 1.0034,                0.97009,                0.95231,                0.98747,                0.79571,                0.78991,                0.40116,                 1.2871,             0.00065271,             0.00065271,             0.00065271
                     77,                 0.5323,                0.36264,                0.98829,                0.98046,                0.96962,                0.98525,                0.78895,                0.79705,                0.45937,                 1.2586,              0.0006466,              0.0006466,              0.0006466
                     78,                0.51686,                0.35191,                0.95492,                0.92629,                0.94753,                 0.9788,                0.80979,                0.74674,                0.46686,                 1.2122,             0.00064049,             0.00064049,             0.00064049
                     79,                0.51965,                0.35013,                0.96059,                0.95257,                0.91131,                0.97444,                0.79282,                0.76953,                0.49315,                 1.2421,             0.00063438,             0.00063438,             0.00063438
                     80,                0.51298,                 0.3412,                0.95863,                0.95156,                0.94667,                0.98289,                 0.7939,                0.79415,                0.45078,                 1.2819,             0.00062827,             0.00062827,             0.00062827
                     81,                0.53503,                 0.3817,                0.97767,                0.78935,                0.83536,                0.89055,                 0.7279,                 0.7846,                0.86565,                 1.3012,             0.00062216,             0.00062216,             0.00062216
                     82,                0.53319,                0.36351,                0.96531,                 0.9074,                 0.9523,                0.97206,                0.78195,                0.77443,                0.50138,                 1.2455,             0.00061605,             0.00061605,             0.00061605
                     83,                0.53446,                0.35665,                0.97656,                0.96854,                0.95284,                0.98809,                0.80402,                0.77198,                 0.4367,                  1.238,             0.00060994,             0.00060994,             0.00060994
                     84,                0.54736,                0.35473,                 1.0044,                0.93144,                0.96092,                0.98563,                0.80863,                0.77067,                0.43495,                 1.2189,             0.00060383,             0.00060383,             0.00060383
                     85,                0.52508,                0.33762,                0.96936,                0.98159,                0.94951,                0.98486,                 0.7749,                0.84491,                0.40955,                 1.3048,             0.00059772,             0.00059772,             0.00059772
                     86,                 0.5002,                0.34152,                0.94784,                0.94035,                0.92867,                0.97784,                 0.7568,                0.86904,                0.44156,                  1.365,             0.00059161,             0.00059161,             0.00059161
                     87,                 0.5273,                 0.3438,                0.94855,                0.98923,                 0.9851,                  0.995,                0.78863,                 0.8327,                 0.3736,                 1.3086,              0.0005855,              0.0005855,              0.0005855
                     88,                0.52054,                0.33706,                0.96184,                0.96832,                0.93888,                0.99167,                0.79009,                0.80585,                0.42132,                 1.2705,             0.00057939,             0.00057939,             0.00057939
                     89,                 0.5175,                0.34948,                0.96818,                0.97036,                0.98142,                  0.995,                0.79467,                0.82855,                0.37582,                 1.2932,             0.00057328,             0.00057328,             0.00057328
